split_run,batch,method,status,accuracy,balanced_accuracy,macro_f1,elapsed_seconds,iterations_requested,error
20260809_010356,batch_001,MEFISTO,success,0.6666666666666666,0.6666666666666666,0.6514550264550265,1512.5722974679957,1000,
20260809_010356,batch_002,MEFISTO,success,0.6825396825396826,0.6825396825396824,0.6854657915349917,2433.1625787640223,1000,
20260809_010356,batch_003,MEFISTO,success,0.6984126984126984,0.6984126984126985,0.6945542380324988,1958.5776173780032,1000,
20260809_010356,batch_004,MEFISTO,success,0.6666666666666666,0.6666666666666666,0.6644260132632226,1813.9764914170082,1000,
20260809_010356,batch_005,MEFISTO,success,0.6507936507936508,0.6507936507936508,0.6427432216905901,1668.2507215589867,1000,
20260809_010356,batch_006,MEFISTO,success,0.7142857142857143,0.7142857142857143,0.7124307862679956,1847.6296116140147,1000,
20260809_010356,batch_007,MEFISTO,success,0.7619047619047619,0.7619047619047619,0.7583299333605331,2051.2057463229867,1000,
20260809_010356,batch_008,MEFISTO,success,0.7301587301587301,0.7301587301587301,0.7312169312169311,2239.1302720190142,1000,
20260809_010356,batch_009,MEFISTO,success,0.6825396825396826,0.6825396825396824,0.674778620695906,2171.46227930201,1000,
20260809_010356,batch_010,MEFISTO,success,0.6666666666666666,0.6666666666666666,0.674338973119461,2010.1821816190204,1000,
20260809_010356,batch_011,MEFISTO,success,0.746031746031746,0.746031746031746,0.7427128427128427,1605.772297721007,1000,
20260809_010356,batch_012,MEFISTO,success,0.5555555555555556,0.5555555555555555,0.567719298245614,1539.7434272859828,1000,
20260809_010356,batch_013,MEFISTO,success,0.6666666666666666,0.6666666666666666,0.6645021645021645,2137.569919970003,1000,
20260809_010356,batch_014,MEFISTO,success,0.6349206349206349,0.6349206349206349,0.6275101513473607,1211.8803413020214,1000,
20260809_010356,batch_015,MEFISTO,success,0.6825396825396826,0.6825396825396824,0.6891798508819785,1339.145304554986,1000,
20260809_010356,batch_016,MEFISTO,success,0.6984126984126984,0.6984126984126983,0.7006986764317401,1242.8100025310123,1000,
20260809_010356,batch_017,MEFISTO,success,0.6507936507936508,0.6507936507936508,0.6480205998073271,1928.6245452369913,1000,
20260809_010356,batch_018,MEFISTO,success,0.7301587301587301,0.7301587301587302,0.7217916995223463,1482.5641380180023,1000,
20260809_010356,batch_019,MEFISTO,success,0.5396825396825397,0.5396825396825397,0.5361586883326014,1559.8807806149998,1000,
20260809_010356,batch_020,MEFISTO,success,0.6507936507936508,0.6507936507936508,0.6374101374101374,1247.449991180998,1000,
