subject_id,label,factor_1,factor_2,factor_3,factor_4,factor_5,method
E002473,FIN/EST,0.201314400550199,0.371564201597072,1.3829014162564,0.477528691741934,-0.550273067975035,TEMPTED
E003393,FIN/EST,0.782951288039243,-1.46128942279632,1.56064685246328,0.641695250731419,-2.88573145704444,TEMPTED
E004781,FIN/EST,-0.24026171908256,-0.45591705836348,1.1115925668889,0.174997768905263,-0.654195599178701,TEMPTED
E005804,FIN/EST,0.402215352955002,-1.0095719515037,-0.257820764591541,-0.953543303742268,0.18487953841227,TEMPTED
E007303,FIN/EST,0.114388644462379,-0.773381833349248,-0.0091511660132966,0.577648174120295,0.773137970563859,TEMPTED
E007743,FIN/EST,-0.0660035385977851,-0.657889438246434,0.733707679218192,0.220537478961186,0.59575458512489,TEMPTED
E009676,FIN/EST,0.526704959806884,-0.622239514907675,0.200788139289258,-0.820193261726915,-0.647179581822062,TEMPTED
E011459,FIN/EST,1.05908716117042,-1.19724219582304,-1.05530839851464,-0.828416027022701,-0.804908049149952,TEMPTED
E012115,FIN/EST,-0.178771440386182,-1.42979020641962,0.881619152883069,1.42117201816805,-1.0093402562052,TEMPTED
E012971,FIN/EST,0.472512991223692,-1.00415240603538,0.0275043678559891,-0.685777930916866,0.081760176953101,TEMPTED
E013394,FIN/EST,1.46607892149526,-1.13581797215971,-0.959413201647618,0.146031909808986,1.06645279090918,TEMPTED
E015378,FIN/EST,-0.244639076615303,-0.012037478643678,0.754666344786183,-0.707859511232705,-0.527541777390698,TEMPTED
E015991,FIN/EST,0.573810258719374,-1.13921851990772,-1.03667761658601,-1.36610389084223,-0.322476324968209,TEMPTED
E016148,FIN/EST,-0.573998702211042,-0.284944238076709,2.01630665385181,0.547189185756629,-0.887587568396319,TEMPTED
E016444,FIN/EST,-1.22734668856134,0.0260093107802079,0.900569247702058,-0.235165908652062,1.27169867246386,TEMPTED
E019349,FIN/EST,-0.659857099041845,-0.629981476846667,0.471802014658558,0.191323955885963,0.472793740754944,TEMPTED
E022960,FIN/EST,0.848272408761912,-1.1522578285745,-1.28302185820522,-0.728211876341492,2.77588142029359,TEMPTED
E024646,FIN/EST,0.0061858386387281,-0.58503683183363,1.3623516305581,-1.0070034521947,-0.51965031096121,TEMPTED
E025912,FIN/EST,-0.0612232172529957,-1.07662775296574,-0.172155288686653,-2.1676349177433,0.551693923739635,TEMPTED
E029310,FIN/EST,-0.11780105549508,-0.771686878581718,0.302666444344291,-0.459586611317604,-1.47415439771671,TEMPTED
E033156,FIN/EST,-0.184060864076083,-0.36880279431316,-0.525247586574152,0.520702533134328,0.0479385463426835,TEMPTED
P001307,RUS,-0.0976840349374685,1.34738449960542,-0.451036986487773,1.28773754429989,-0.189620336960821,TEMPTED
P003173,RUS,-1.82270068566892,0.0873895657018788,-1.67696270960488,-0.13947391899867,1.4761669350383,TEMPTED
P003435,RUS,1.91763688452774,1.56004066409957,-1.53680716383236,-0.0499171133173595,0.34708910816748,TEMPTED
P003558,RUS,-1.7900979159659,1.81161330052501,-0.685669635300233,-0.834626155893072,0.0987485708026815,TEMPTED
P004230,RUS,0.650113908940855,1.15143789806875,-1.01120662221437,0.489143242929922,0.0230654074098726,TEMPTED
P004847,RUS,-1.35539613357686,1.94446411633546,-0.825703113803389,-1.11768942513287,-0.653661875752204,TEMPTED
P004946,RUS,1.43770222091626,2.16878603357202,-1.1713695085505,0.768358875135528,0.542839115703233,TEMPTED
P006035,RUS,-0.564214134638941,0.0804744922768098,-1.26472678640065,-1.13079448131719,0.935033835832892,TEMPTED
P007857,RUS,1.34879469881271,1.83127340784953,-1.15281176662809,-0.642133034100777,0.280756154872952,TEMPTED
P008543,RUS,0.586571943029961,1.06032490837201,-0.856150586095106,0.708469489217369,-0.796647084801891,TEMPTED
P008723,RUS,-1.51549015033954,0.209028869219646,-0.872544923100224,0.697835034740347,-0.35994955698168,TEMPTED
P009219,RUS,-2.88357305815638,1.80082730996581,0.362123137210143,0.863408174444442,-1.34912217497336,TEMPTED
P009746,RUS,-0.657932917401978,1.6291887282104,-0.718207270277013,-0.788652425368481,1.24061326030772,TEMPTED
P010313,RUS,0.383750324479151,0.423539836779549,-0.0355498510369764,4.03959663134058,-2.85725456584984,TEMPTED
P014605,RUS,0.803939267274025,0.217805300182242,0.823110240195198,-0.199311389541779,1.75053384149568,TEMPTED
P015091,RUS,0.642436691234032,1.71981892631791,0.420477482737537,1.13934687674293,-0.0936768259635452,TEMPTED
P016497,RUS,0.478515395379885,-0.0576863521882298,-1.1654819399998,0.837617058048121,-0.132261658716457,TEMPTED
P016574,RUS,0.380505257553956,0.610969219302396,0.953083470437077,0.59345562245258,1.41818139148107,TEMPTED
P017743,RUS,0.247597028248546,1.17841068255239,1.53573092896699,0.523245523206294,-0.0653082388916647,TEMPTED
P020631,RUS,-0.0190319697340913,0.226474132851739,-0.747949556276951,-0.70032023269886,1.19032492865702,TEMPTED
P020799,RUS,0.862350952362224,-0.0048170545924784,-0.418581316215683,0.267158779289484,1.50883520424066,TEMPTED
T000461,FIN/EST,1.11636749090107,-0.781306199782162,-0.256172925053785,0.891780258709478,-0.576971218800054,TEMPTED
