feature_id,factor_1,factor_2,factor_3,factor_4,factor_5,method,batch
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.0646568251458821,0.128605626665839,-0.0311070453922543,0.0602504196288938,-0.0464455791655195,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Parascardovia,0.0299431924294782,0.0592779898455855,0.0129261647734852,-0.0117012163954071,0.029513386520028,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Unknown_001,0.0412374335704557,-0.0046456244418719,0.0186296226523933,-0.0403905503240783,0.0080533209958053,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium,0.0353107518957153,0.0344615688922967,-0.0080820356511584,-0.036385222602784,0.0204358414167976,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,0.048011116394565,0.0209351412070434,0.0036639488262818,-0.0221030060386852,-0.0456355449495533,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.115592424352206,0.152159223979019,-0.100635638561221,0.121389678791893,-0.170778900631878,TEMPTED,batch_001
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__|g__Unknown_002,0.100846722061484,0.0825157567406713,-0.0408977096241147,-0.0289048315810811,-0.125204908761499,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,-0.0870129785589149,-0.218628642838139,-0.0218516294129425,-0.0376693593338441,-0.158940315561414,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Unknown_003,-0.0884417271391048,-0.164880328550075,-0.0750145005815505,-0.0136546929983854,-0.279600469069673,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas,0.0282161253416348,0.0088827735996554,0.0618937033792636,-0.0155669344460839,0.0522919593632108,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,-0.103545943535071,-0.24228177694343,-0.31240927434132,-0.0920836717169505,-0.218405977934526,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,0.0128238456711941,-0.0130334675554198,0.0036033962510183,-0.0335180891762643,0.0058850435054191,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,-0.0640962903064627,-0.045369724846666,-0.19836545576374,0.0172027470175109,-0.181873455517661,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Unknown_004,-0.20712099715248,-0.077690634564309,-0.274884376139293,-0.114464795870522,0.173130429720353,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7|g__Unknown_005,0.0050348881768101,-0.0282873606873602,0.0083161943072013,-0.0614688755048473,0.101775841260237,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__Unknown_006,-0.0870467581736676,-0.0817070151071043,-0.279883827696805,-0.186111378599495,0.128769239672319,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas,-0.0018517007623406,-0.0704644702913654,-0.0570500716761334,-0.0831473802504905,0.0459402639401369,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Odoribacter,-0.0739274393936928,-0.0708605360420553,-0.171651965308081,-0.135984042585041,0.180785039892273,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__Paraprevotella,0.0001824176144585,-0.0928651455859352,-0.0366595382515374,-0.0693139159976354,-0.0171516785822674,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella],0.0151404634675795,-0.0491008274926956,-0.0216759777598486,-0.0548308040842984,0.0325773422215386,TEMPTED,batch_001
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Unknown_007,0.0454510134944629,0.0089441713950707,0.0022314028055621,-0.0488987032285628,0.020219809920593,TEMPTED,batch_001
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__|g__Unknown_008,-0.0315864565622304,-0.0809962974616353,-0.0841054620889349,-0.106325664122815,0.11134171437613,TEMPTED,batch_001
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__|g__Unknown_009,-0.0213625622771319,0.0490789341676099,0.0110583575357985,0.0129983208296258,0.039069117397476,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus,0.0490204872666881,0.0489397568871737,0.0488850710455313,-0.0226675048629708,-0.0167860649455546,TEMPTED,batch_001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,0.0981783756877198,0.0446818749242779,0.0223830181508751,-0.0772456705038713,-0.0386517259801685,TEMPTED,batch_001
