method,feature_id,kingdom,phylum,class,order,family,genus,factor_1,factor_2,factor_3,factor_4,factor_5
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,0.7929901038179581,0.7625001657065147,-0.00133087233126995,0.31737408556354607,0.2699771948703015
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Parascardovia,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Parascardovia,0.9806228470426142,0.00104441616254135,6.793856518927244e-05,0.2907305743823707,0.2533278092392137
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Unknown_001,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Unknown_001,1.0621641855499782,-0.00029257001378720003,-3.4718124539873343e-08,7.144571348170246e-05,0.28348286358380204
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,1.0214564695000419,2.1088313982369054e-05,3.091147792666236e-05,0.1710033019172562,0.47315896791346723
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,1.0037172401014627,-0.00019182785414785,-2.3335176427308285e-05,0.32073111931357084,0.1581857113203691
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,-0.8486932922662584,1.2725455633680731,-0.00119835602105285,0.0002863311912189,-1.4003726293611471
MEFISTO,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__|g__Unknown_002,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__,g__Unknown_002,1.0232770553557156,0.4968940046698701,-0.00032847403646305,0.0811860648512612,-0.0012400260458416
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,-1.7198942391335554,-0.45017595283333534,-0.0011160026639096,0.0014259746431800001,-1.1961151879699221
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Unknown_003,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Unknown_003,-0.4185485783848635,-0.5686310433220885,0.00038918622416824996,0.2706789131976226,-0.00079328826328075
MEFISTO,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Dysgonomonas,0.806865305797104,-0.00267357559934815,-0.0025851814584551998,-0.00665811990117615,0.0045154438641452
