method,factor,label,time_bin,time,median,lower,upper,n
TEMPTED,factor_1,FIN/EST,0,62.5,3.443840470751243,0.653990841130601,5.633132892528223,142
TEMPTED,factor_1,FIN/EST,1,165.0,1.5579177498789836,-2.488383534598928,4.391763606556596,97
TEMPTED,factor_1,FIN/EST,2,293.5,-6.764022782561696,-11.241798458756957,-1.209449886114943,82
TEMPTED,factor_1,FIN/EST,3,386.0,-11.537698356248427,-14.901698856926883,-6.414140647114823,88
TEMPTED,factor_1,FIN/EST,4,482.0,-15.296760106689705,-19.11587949504208,-10.708736500166637,113
TEMPTED,factor_1,FIN/EST,5,576.5,-18.80031661012092,-20.843307565722252,-15.081816283205084,116
TEMPTED,factor_1,FIN/EST,6,669.0,-19.680574152182356,-22.592237076676888,-15.626812661863955,107
TEMPTED,factor_1,FIN/EST,7,712.0,-17.803389847389997,-20.607976610627908,-14.142994505261193,13
TEMPTED,factor_1,FIN/EST,8,854.0,-20.76163225563233,-24.111647394671554,-17.313688215500562,71
TEMPTED,factor_1,FIN/EST,9,887.0,-19.299112095911184,-20.628056143506036,-17.720184908599034,8
TEMPTED,factor_1,FIN/EST,10,1059.0,-20.46985824540854,-22.10120506174541,-16.558455802507897,8
TEMPTED,factor_1,FIN/EST,11,1098.5,-22.248997674135815,-23.838643350378774,-19.37922119035346,62
TEMPTED,factor_1,RUS,0,102.0,0.9723730903046677,-3.348543689362817,5.627024862220187,6
TEMPTED,factor_1,RUS,1,185.0,2.9070032143029825,-1.2213850750239559,6.030637205675886,75
TEMPTED,factor_1,RUS,2,264.0,-2.86523899108715,-7.2771728041466055,2.7045752328997112,115
TEMPTED,factor_1,RUS,3,365.0,-8.304550700749813,-12.656502961868927,-3.0576754465028104,125
TEMPTED,factor_1,RUS,4,449.0,-13.198003592205994,-17.073332876566283,-8.957012336354202,101
TEMPTED,factor_1,RUS,5,549.0,-16.574931594198304,-19.676847096882337,-14.812434460635373,81
TEMPTED,factor_1,RUS,6,638.0,-18.02265029859652,-21.076276087071776,-15.521970297831768,56
TEMPTED,factor_1,RUS,7,725.0,-19.963939842036208,-22.830523548665454,-16.872906389009334,47
TEMPTED,factor_1,RUS,8,829.5,-20.889324077242208,-23.716840043057267,-17.166261550217264,24
TEMPTED,factor_1,RUS,9,919.0,-20.67669433637598,-21.902717467353053,-19.26541795110436,12
TEMPTED,factor_1,RUS,10,1011.5,-20.031316137815246,-21.143395300152154,-19.26074386826279,12
TEMPTED,factor_1,RUS,11,1101.0,-21.198731024367067,-21.532353346934265,-18.45243095674137,3
TEMPTED,factor_2,FIN/EST,0,62.5,0.4564602599230242,-1.567538680183641,2.8429889760562883,142
TEMPTED,factor_2,FIN/EST,1,165.0,0.7423494218693233,-1.5314939439397752,3.9280550599947217,97
TEMPTED,factor_2,FIN/EST,2,293.5,-0.26187688211985005,-2.963244464471753,2.97078639177999,82
TEMPTED,factor_2,FIN/EST,3,386.0,-0.9315502115744269,-3.2200721785477295,2.2748724840586383,88
TEMPTED,factor_2,FIN/EST,4,482.0,-2.322671271995881,-4.510792754952224,0.9983875229212491,113
TEMPTED,factor_2,FIN/EST,5,576.5,-4.464753497834172,-6.445522879418211,-2.311656047274164,116
TEMPTED,factor_2,FIN/EST,6,669.0,-4.384517047163625,-6.312937087413621,-1.3334219529726674,107
TEMPTED,factor_2,FIN/EST,7,712.0,-3.656887581419286,-5.403817460408141,-0.7972256630943099,13
TEMPTED,factor_2,FIN/EST,8,854.0,-5.293510844362498,-7.062987321038166,-2.2185980525079625,71
TEMPTED,factor_2,FIN/EST,9,887.0,-4.813680850519535,-6.00726600942281,-3.884404267820331,8
TEMPTED,factor_2,FIN/EST,10,1059.0,-4.538258251412134,-7.1185188665551555,-3.7557008275659314,8
TEMPTED,factor_2,FIN/EST,11,1098.5,-6.329684416866716,-8.211590147753142,-4.16951990568387,62
TEMPTED,factor_2,RUS,0,102.0,8.389550672476641,5.064101078143856,10.631417580505296,6
TEMPTED,factor_2,RUS,1,185.0,8.493585804557721,5.349749618790983,11.350667703517932,75
TEMPTED,factor_2,RUS,2,264.0,10.07555717209046,5.25427380826325,12.730596160790999,115
TEMPTED,factor_2,RUS,3,365.0,7.857310053067678,2.013419001908711,12.307476550870712,125
TEMPTED,factor_2,RUS,4,449.0,4.043316303809825,0.3421015487580938,8.80374207224581,101
TEMPTED,factor_2,RUS,5,549.0,0.14402133630875377,-2.1657072726041746,3.5848754591153607,81
TEMPTED,factor_2,RUS,6,638.0,-0.9601492260545713,-3.773721571082339,0.8745688314983452,56
TEMPTED,factor_2,RUS,7,725.0,-2.8517152287060497,-4.33951215914862,0.4565812460874453,47
TEMPTED,factor_2,RUS,8,829.5,-2.36340737192472,-4.54949760416406,0.9358397137922814,24
TEMPTED,factor_2,RUS,9,919.0,-2.5605628127974294,-4.927131562535025,-0.15766870146243778,12
TEMPTED,factor_2,RUS,10,1011.5,-0.07318271212653849,-2.5374842979181813,2.6776196275609654,12
TEMPTED,factor_2,RUS,11,1101.0,3.261207937778494,2.9383039493030525,4.552280408013577,3
TEMPTED,factor_3,FIN/EST,0,62.5,3.438140849353819,0.5598123932448624,6.087943352703295,142
TEMPTED,factor_3,FIN/EST,1,165.0,5.225775338193581,1.5617721473455815,8.214047813491012,97
TEMPTED,factor_3,FIN/EST,2,293.5,5.628997394559933,2.446968768330846,7.8508974490349805,82
TEMPTED,factor_3,FIN/EST,3,386.0,4.373630337838355,1.3956059099564424,7.042615606406185,88
