"split_run","batch","method","status","accuracy","balanced_accuracy","macro_f1","elapsed_seconds","error"
"20260809_183835","batch_001","TEMPTED","success",0.634920634920635,0.634920634920635,0.62994227994228,16.177,""
"20260809_183835","batch_002","TEMPTED","success",0.587301587301587,0.587301587301587,0.573258562867667,12.132,""
"20260809_183835","batch_003","TEMPTED","success",0.603174603174603,0.603174603174603,0.603166361508121,9.345,""
"20260809_183835","batch_004","TEMPTED","success",0.587301587301587,0.587301587301587,0.572296050203027,19.392,""
"20260809_183835","batch_005","TEMPTED","success",0.666666666666667,0.666666666666667,0.648190107764576,5.55499999999999,""
"20260809_183835","batch_006","TEMPTED","success",0.666666666666667,0.666666666666667,0.67005772005772,5.024,""
"20260809_183835","batch_007","TEMPTED","success",0.603174603174603,0.603174603174603,0.602216197960879,5.69300000000001,""
"20260809_183835","batch_008","TEMPTED","success",0.603174603174603,0.603174603174603,0.602656512081237,4.789,""
"20260809_183835","batch_009","TEMPTED","success",0.53968253968254,0.53968253968254,0.535107169253511,5.06500000000001,""
"20260809_183835","batch_010","TEMPTED","success",0.714285714285714,0.714285714285714,0.710232919535245,5.179,""
"20260809_183835","batch_011","TEMPTED","success",0.619047619047619,0.619047619047619,0.616810966810967,5.7,""
"20260809_183835","batch_012","TEMPTED","success",0.619047619047619,0.619047619047619,0.620009033423668,6.024,""
"20260809_183835","batch_013","TEMPTED","success",0.603174603174603,0.603174603174603,0.603174603174603,8.81700000000001,""
"20260809_183835","batch_014","TEMPTED","success",0.666666666666667,0.666666666666667,0.665055055866173,7.83200000000001,""
"20260809_183835","batch_015","TEMPTED","success",0.571428571428571,0.571428571428571,0.569663541092112,7.59,""
"20260809_183835","batch_016","TEMPTED","success",0.587301587301587,0.587301587301587,0.576631176631177,5.45299999999999,""
"20260809_183835","batch_017","TEMPTED","success",0.650793650793651,0.650793650793651,0.645135566188198,3.536,""
"20260809_183835","batch_018","TEMPTED","success",0.650793650793651,0.650793650793651,0.654471544715447,4.00799999999998,""
"20260809_183835","batch_019","TEMPTED","success",0.650793650793651,0.650793650793651,0.646398046398046,3.922,""
"20260809_183835","batch_020","TEMPTED","success",0.714285714285714,0.714285714285714,0.714368914368914,5.00999999999999,""
