"component_1","component_2","time"
-0.169809513188167,0.231818940100732,27
-0.166992405166286,0.211327398899006,38.35
-0.164173250481236,0.190838087453443,49.7
-0.161343973462405,0.170376257108849,61.05
-0.15848074933569,0.149997906642653,72.4
-0.155551417063723,0.129777094397477,83.75
-0.152522614310035,0.109799897937322,95.1
-0.149357721024901,0.0901614578240745,106.45
-0.146015984291197,0.0709456118539185,117.8
-0.142454156583304,0.0522264882952578,129.15
-0.138640881003609,0.0341293898396058,140.5
-0.134562037166727,0.016776781688052,151.85
-0.130206968160193,0.000265058959448956,163.2
-0.125574011907952,-0.0153460644148096,174.55
-0.120673524027035,-0.0300248352226428,185.9
-0.115516909635893,-0.0437429220565959,197.25
-0.110119772838087,-0.0564957249825915,208.6
-0.104498657133817,-0.0682724937633028,219.95
-0.0986640207089259,-0.0790444293968029,231.3
-0.0926209077318355,-0.0887889555312161,242.65
-0.0863757018165363,-0.0974853701388388,254
-0.0799435600138235,-0.105127019012667,265.35
-0.0733482900979264,-0.111726820868076,276.7
-0.0666190897208971,-0.117301400031447,288.05
-0.0597926372211912,-0.121876338949242,299.4
-0.0529061742397159,-0.12548756796314,310.75
-0.0459768806855718,-0.128175832893868,322.1
-0.0390107897678863,-0.129975956526799,333.45
-0.0320307759730416,-0.130925105126823,344.8
-0.0250585878473147,-0.131050238143892,356.15
-0.0181240398170297,-0.130367033933262,367.5
-0.0112715717431101,-0.128891813522305,378.85
-0.00455793673434543,-0.126651908750804,390.2
0.00195994747315713,-0.123695542275444,401.55
0.00824575455866115,-0.120079233889178,412.9
0.014286216991391,-0.115850329296757,424.25
0.0200726030674332,-0.11104489996037,435.6
0.0256041232005823,-0.105713997717595,446.95
0.0308845440675293,-0.0999238032797895,458.3
0.0359116311608353,-0.0937506592887833,469.65
0.0406697294111987,-0.0872703238748068,481
0.0451463450943028,-0.0805368650268432,492.35
0.0493471968550704,-0.0736104694391598,503.7
0.0532832200336947,-0.0665669402123939,515.05
0.0569594288681618,-0.0594655812425329,526.4
0.0603947830244203,-0.0523446222322881,537.75
0.0636089488472461,-0.0452349450767751,549.1
0.0666173118713763,-0.0381808441699005,560.45
0.0694305276161762,-0.0312478566224403,571.8
0.072060100872717,-0.0245041150226282,583.15
0.0745094164419458,-0.0179930570184654,594.5
0.0767884876338706,-0.0117214720698893,605.85
0.078919664442703,-0.00567275798114583,617.2
0.0809220199661755,0.000167248328060301,628.55
0.0828046875029763,0.00580033577174532,639.9
0.0845729148198326,0.0112245634843936,651.25
0.0862327439741241,0.0164341412050043,662.6
0.0877897942970871,0.021409315632823,673.95
0.089245522453241,0.0261470972094234,685.3
0.0906062527844874,0.030682081177078,696.65
0.0918847711587645,0.0350615790493079,708
0.0930920502842658,0.0393201405243107,719.35
0.0942346191579011,0.0434663736950898,730.7
0.0953164830088547,0.0475004854834758,742.05
0.0963441773907816,0.0514158145809342,753.4
0.0973232410756822,0.0552065356829182,764.75
0.0982583505568626,0.0588674893620751,776.1
0.0991549425849548,0.0623932232912661,787.45
0.100012214070524,0.065779740975357,798.8
0.100824346563391,0.0690302397118834,810.15
0.101585717483599,0.072151754896185,821.5
0.102290196102945,0.0751537698684028,832.85
0.102935667979425,0.0780507841777457,844.2
0.103524596728115,0.0808559710267869,855.55
0.104065723546263,0.0835791633579392,866.9
0.104571564705575,0.0862256653236254,878.25
0.105051067740914,0.0888041764183287,889.6
0.105511641043927,0.0913248880712845,900.95
0.105961649782678,0.093797980808923,912.3
0.106410030300812,0.0962333145370273,923.65
0.106866426908599,0.0986403108635889,935
0.107341822556419,0.101027771896181,946.35
0.10784491061301,0.103404692191033,957.7
0.108377174778291,0.105777810887191,969.05
0.1089388959266,0.108154016606315,980.4
0.109530344394536,0.110539839672762,991.75
0.110151734845211,0.112940415699601,1003.1
0.110802414399075,0.115361692494233,1014.45
0.111480432328652,0.117805244971665,1025.8
0.112182583600477,0.120270132795074,1037.15
0.112905226156211,0.122756064442084,1048.5
0.11364388639957,0.125262865688915,1059.85
0.114391731732573,0.127788258608442,1071.2
0.115139746924236,0.13032998249532,1082.55
0.115879628597601,0.132883264283514,1093.9
0.116607427498125,0.135441344316292,1105.25
0.117323671028746,0.138001630918359,1116.6
0.11803087750245,0.140563042547919,1127.95
0.118730937346209,0.143125300963403,1139.3
0.119426233014835,0.145688124103432,1150.65
0.120119146716208,0.148251229697398,1162
