"component_1","component_2","feature_id"
-0.0652457081022513,0.107068971644032,"Actinomyces"
-0.0318205902800194,0.0372751111115782,"Parascardovia"
-0.0390068186067547,-0.0219272093304154,"Actinomycetaceae (F)"
-0.0335382216158589,-0.000391389971656412,"Corynebacterium"
-0.0483924690867008,-0.0041342205073147,"Rothia"
-0.11327485547775,0.176207161383616,"Bifidobacterium"
-0.0964055630854186,0.0540009101761413,"Bifidobacteriales (O)"
0.0910385079853965,-0.136998342101255,"Bacteroides"
0.0924716288546058,-0.122215681029789,"Bacteroidaceae (F)"
-0.0254768587743788,-0.00583957054476593,"Dysgonomonas"
0.104337620927737,-0.175706820416948,"Parabacteroides"
-0.0146923809993397,-0.0344136688906702,"Porphyromonas"
0.0680063358004323,-0.0347065204937434,"Prevotella"
0.20425490380442,-0.117000586766601,"Rikenellaceae (F)"
0.000479461096189929,-0.0486024670090691,"S24-7 (F)"
0.0874340714418315,-0.145368023489237,"[Barnesiellaceae] (F)"
0.00507570835402082,-0.0693238749438415,"Butyricimonas"
0.0709549097410128,-0.120634807723522,"Odoribacter"
0.00862446408526046,-0.0894150809322129,"Paraprevotella"
-0.00954089077282604,-0.0542711610650571,"[Prevotella]"
-0.0412870871507145,-0.0222621687892406,"Flavobacteriaceae (F)"
0.0337864883581232,-0.0875487685604241,"YS2 (O)"
0.0175370190442715,0.060324387706314,"Streptophyta (O)"
-0.0506101853899414,0.013257666925764,"Solibacillus"
-0.0975345620404642,-0.026840568360949,"Staphylococcus"
-0.0958760263952673,-0.0426127442355097,"Staphylococcaceae (F)"
-0.0375113754168937,0.0227983424366321,"Gemellaceae (F)"
-0.0153865644378085,-0.0361071777515098,"Abiotrophia"
-0.129494970108571,0.325480054795042,"Granulicatella"
-0.141108533480236,0.30109309813296,"Enterococcus"
-0.0811315453134144,0.1539121496573,"Enterococcaceae (F)"
-0.162676407938087,0.200710821171438,"Lactobacillus"
-0.0457162764218648,0.0559914878700566,"Pediococcus"
-0.0324373508015966,0.0682067978067176,"Lactobacillaceae (F)"
-0.00865183873024286,0.0456625544983179,"Leuconostoc"
0.0386450087775519,0.191183087333045,"Lactococcus"
-0.073431056005337,0.0714834658241311,"Streptococcus"
-0.0534654386188758,0.116403675474908,"Streptococcaceae (F)"
-0.0644044122878976,0.11438546666919,"Lactobacillales (O)"
0.053519926299215,0.0180416066148818,"Turicibacter"
-0.104515919446949,0.181429784322142,"Bacilli (C)"
-0.00872918274790075,-0.0541772926518967,"Catabacteriaceae (F)"
-0.00112466521069446,-0.0542517734587253,"Christensenellaceae (F)"
-0.0423541292232169,0.00168510936103346,"Anaerococcus"
-0.0786790733307496,-0.00409938452595283,"Clostridium"
-0.0270503440272799,-0.0120617274400628,"Mogibacterium"
-0.0347204565037525,-0.0327998271223813,"Peptoniphilus"
0.00512011764037256,-0.00830596593108598,"Sarcina"
0.0164804441546655,-0.0101869902982632,"Clostridiaceae (F)"
-0.00360423868683461,-0.0405567787853848,"Anaerofustis"
-0.0227412460055986,-0.0373733350652643,"Eubacterium"
0.0957437650723961,-0.0725655589936367,"Anaerostipes"
0.133046223549138,0.140956799861722,"Blautia"
0.154575233365164,0.0956817819921079,"Coprococcus"
0.120143153023523,0.0210774758807186,"Dorea"
0.0903286526270741,-0.0496993790883789,"Lachnobacterium"
0.163826887913872,0.0268469996488111,"Lachnospira"
0.190796307272249,0.0355400397150538,"Roseburia"
0.10252349969636,0.134643539541379,"[Ruminococcus]"
0.181567007888926,0.102247465938532,"Lachnospiraceae (F)"
-0.0299021088482232,-0.0341922493298524,"Peptococcus"
-0.0229906116043519,-0.0458162179580942,"rc4-4"
-0.0253339312478937,-0.039952466434051,"Peptococcaceae (F)"
0.0513492019289915,0.152715052560248,"Peptostreptococcaceae (F)"
0.0382782320887232,-0.0354741783288085,"Anaerotruncus"
0.23385929946421,0.019604461527926,"Faecalibacterium"
0.159902614780632,0.0513239766684802,"Oscillospira"
0.217496339189524,0.109553273673889,"Ruminococcus"
0.219670740375161,0.123018332654716,"Ruminococcaceae (F)"
-0.0241311720963389,-0.0280501922724139,"Acidaminococcus"
0.0156912462174584,-0.0432803530308295,"Dialister"
-0.0266050392508531,-0.0290967970985854,"Megamonas"
-0.0376467844254107,0.0671139100556807,"Megasphaera"
-0.0300655387073726,-0.0235826389465409,"Mitsuokella"
-0.0528122394430276,-0.0287125090769357,"Negativicoccus"
-0.00176674395009534,-0.081997161333847,"Phascolarctobacterium"
-0.0209360772874304,-0.0378008277163265,"Selenomonas"
-0.118915890576831,-0.0969788552036758,"Veillonella"
0.131080967028276,-0.0225314129605557,"Veillonellaceae (F)"
0.120552015146113,0.0867373049340043,"Clostridiales (O)"
-0.00415947862986269,-0.0550569524316594,"Adlercreutzia"
-0.0471114425922829,0.00195863399733159,"Atopobium"
-0.00162633552062172,0.0216983826000495,"Collinsella"
-0.00503267847203699,0.239388483171738,"Eggerthella"
-0.0131179625633296,-0.0110477606950967,"Slackia"
0.03541387663666,0.0341419265216737,"Coriobacteriaceae (F)"
0.195591349688307,0.0769972120541975,"Coriobacteriales (O)"
-0.0199466907392093,-0.051410311197187,"SHA-98 (O)"
0.173819371451267,0.104289791263711,"Clostridia (C)"
-0.00616714607626953,-0.000861844084399566,"Bulleidia"
0.0420464726561322,-0.0891317471557543,"Holdemania"
0.0600945328365685,0.0911816085116299,"[Eubacterium]"
-0.00430507346205066,-0.0535562409623781,"cc_115"
-0.00675208859992225,-0.0610789111076679,"Erysipelotrichaceae (F)"
-0.0179741737247557,-0.0466356101882024,"Catenibacterium"
0.0418170145502692,-0.0231297854172831,"Coprobacillus"
0.121631836447481,0.172266248993923,"[Coprobacillaceae] (F)"
-0.0252222547619935,-0.0374407378838559,"ML615J-28 (O)"
-0.0296041147782858,-0.0397453756429287,"Fusobacterium"
-0.0276195986307099,-0.0344955028339544,"J2-29"
-0.0245281617859047,-0.0347624087901372,"Fusobacteriaceae (F)"
-0.0220085536338057,-0.042617669197624,"Victivallaceae (F)"
-0.0206547938930349,-0.048650242517854,"[Lentisphaeria] (C)"
0.058041868538541,-0.116967212828592,"RF32 (O)"
0.000562759677856396,0.0207253848886514,"mitochondria (F)"
0.156576806753842,-0.126119456394217,"Sutterella"
-0.0394451464316314,-0.0207814425430573,"Curvibacter"
-0.0206424559144017,-0.0458248872379825,"Oxalobacter"
-0.0463875240583559,0.0154328319256154,"Ralstonia"
-0.0257514142278625,-0.0331236703414355,"Eikenella"
-0.0288958224029783,-0.0308291009979642,"Neisseriaceae (F)"
-0.0262910669187208,-0.0370546449501034,"Betaproteobacteria (C)"
0.0507608345047591,-0.133390051012004,"Bilophila"
-0.0106900364758843,-0.0594172690201979,"Desulfovibrio"
-0.0331845061020174,-0.0528913209336516,"Campylobacter"
-0.029742197890817,-0.0349203646145816,"Aeromonadaceae (F)"
-0.0296795953650473,-0.0358977084803827,"Succinivibrio"
-0.0513455835799021,-0.0318242140751422,"Aeromonadales (O)"
-0.0817436263738852,0.0197386360464414,"Citrobacter"
-0.169361095940847,0.052618531584301,"Enterobacter"
-0.0891938839871492,-0.0409967984159578,"Erwinia"
-0.169077015891236,-0.0079852111721523,"Escherichia"
-0.0960055494735275,-0.037968633332417,"Klebsiella"
-0.0321389341359549,-0.0381561469182738,"Morganella"
-0.118886524435708,-0.0164629773627704,"Plesiomonas"
-0.035564480069024,-0.0428812793913464,"Proteus"
-0.0923617275548267,-0.0271410981887029,"Salmonella"
-0.0432950200250172,-0.0321432990759564,"Serratia"
-0.0827254819458207,-0.0257456340227196,"Trabulsiella"
-0.02979065443877,-0.0254035776295982,"Yersinia"
-0.199210743644888,0.0207786945414863,"Enterobacteriaceae (F)"
-0.0433693264675633,-0.0217872243655436,"Coxiellaceae (F)"
0.0189784618758813,-0.021183741771625,"Actinobacillus"
0.00223185799010699,-0.0614488423473944,"Aggregatibacter"
0.0160209476689751,-0.0875632124525405,"Haemophilus"
-0.0236041001787543,-0.0363731101675972,"Pasteurellaceae (F)"
-0.0552815736373979,-0.0103328941645579,"Acinetobacter"
-0.0346726641691618,-0.0383377760122706,"Moraxellaceae (F)"
-0.0568123374497698,0.0981263788632845,"Pseudomonas"
-0.0260844035541667,-0.0368135689868223,"Pyramidobacter"
-0.0190838754569126,-0.0562891123207228,"Anaeroplasmataceae (F)"
0.00871770397869881,-0.06214187575701,"RF39 (O)"
0.138388597773148,-0.0173216871759892,"Akkermansia"
