split_run,batch,train_subjects,test_subjects,features,median_train_tempted_pseudocount,missing_train_mefisto_rclr,missing_test_mefisto_rclr
20260809_010356,batch_001,146,63,133,1.19212245481856e-05,91286,33005
20260809_010356,batch_002,146,63,129,1.2218011133365474e-05,81393,37414
20260809_010356,batch_003,146,63,134,1.20397794312408e-05,89909,35901
20260809_010356,batch_004,146,63,128,1.20397794312408e-05,81958,35056
20260809_010356,batch_005,146,63,131,1.254170115634485e-05,85302,36260
20260809_010356,batch_006,146,63,129,1.20723374459763e-05,81404,37436
20260809_010356,batch_007,146,63,132,1.2566445413721651e-05,84950,37962
20260809_010356,batch_008,146,63,130,1.226662830680745e-05,86474,33459
20260809_010356,batch_009,146,63,130,1.2566445413721651e-05,83199,36533
20260809_010356,batch_010,146,63,132,1.19212245481856e-05,85911,36998
20260809_010356,batch_011,146,63,129,1.2179822907181826e-05,82999,35395
20260809_010356,batch_012,146,63,131,1.184988872526345e-05,84309,37400
20260809_010356,batch_013,146,63,129,1.2540285827445175e-05,84365,34310
20260809_010356,batch_014,146,63,132,1.2497972049280575e-05,82859,40050
20260809_010356,batch_015,146,63,130,1.19237831779267e-05,81722,38148
20260809_010356,batch_016,146,63,130,1.214270102241545e-05,82163,37566
20260809_010356,batch_017,146,63,133,1.24840827944371e-05,87581,36879
20260809_010356,batch_018,146,63,132,1.200076804915515e-05,87357,35552
20260809_010356,batch_019,146,63,130,1.214270102241545e-05,85278,34604
20260809_010356,batch_020,146,63,129,1.226331796330815e-05,81013,37916
