"split_run","batch","method","status","accuracy","balanced_accuracy","macro_f1","elapsed_seconds","error"
"20260809_010356","batch_001","TEMPTED","success",0.682539682539683,0.682539682539683,0.67304625199362,8.176,""
"20260809_010356","batch_002","TEMPTED","success",0.634920634920635,0.634920634920635,0.629539598867433,13.132,""
"20260809_010356","batch_003","TEMPTED","success",0.650793650793651,0.650793650793651,0.651378872592713,12.06,""
"20260809_010356","batch_004","TEMPTED","success",0.619047619047619,0.619047619047619,0.619047619047619,6.23,""
"20260809_010356","batch_005","TEMPTED","success",0.682539682539683,0.682539682539683,0.678282828282828,6.96400000000001,""
"20260809_010356","batch_006","TEMPTED","success",0.619047619047619,0.619047619047619,0.61031031031031,6.772,""
"20260809_010356","batch_007","TEMPTED","success",0.650793650793651,0.650793650793651,0.64867611513953,7.179,""
"20260809_010356","batch_008","TEMPTED","success",0.634920634920635,0.634920634920635,0.637441590362748,7.18600000000001,""
"20260809_010356","batch_009","TEMPTED","success",0.666666666666667,0.666666666666667,0.662971175166297,5.354,""
"20260809_010356","batch_010","TEMPTED","success",0.73015873015873,0.73015873015873,0.735137085137085,20.044,""
"20260809_010356","batch_011","TEMPTED","success",0.666666666666667,0.666666666666667,0.67005772005772,11.76,""
"20260809_010356","batch_012","TEMPTED","success",0.682539682539683,0.682539682539683,0.686823512404908,9.374,""
"20260809_010356","batch_013","TEMPTED","success",0.619047619047619,0.619047619047619,0.619245694118071,11.287,""
"20260809_010356","batch_014","TEMPTED","success",0.761904761904762,0.761904761904762,0.759302325581395,9.37,""
"20260809_010356","batch_015","TEMPTED","success",0.619047619047619,0.619047619047619,0.618326118326118,8.059,""
"20260809_010356","batch_016","TEMPTED","success",0.73015873015873,0.73015873015873,0.723188405797101,5.66500000000002,""
"20260809_010356","batch_017","TEMPTED","success",0.73015873015873,0.73015873015873,0.721767221767222,8.571,""
"20260809_010356","batch_018","TEMPTED","success",0.619047619047619,0.619047619047619,0.617063492063492,7.15199999999999,""
"20260809_010356","batch_019","TEMPTED","success",0.698412698412698,0.698412698412698,0.703053823053823,8.24099999999999,""
"20260809_010356","batch_020","TEMPTED","success",0.746031746031746,0.746031746031746,0.746898874558449,11.34,""
