batch,MEFISTO,TEMPTED,TEMPTED_minus_MEFISTO
batch_001,0.6666666666666666,0.682539682539683,0.015873015873016372
batch_002,0.6825396825396824,0.634920634920635,-0.04761904761904745
batch_003,0.6984126984126985,0.650793650793651,-0.04761904761904745
batch_004,0.6666666666666666,0.619047619047619,-0.04761904761904767
batch_005,0.6507936507936508,0.682539682539683,0.03174603174603219
batch_006,0.7142857142857143,0.619047619047619,-0.09523809523809534
batch_007,0.7619047619047619,0.650793650793651,-0.11111111111111083
batch_008,0.7301587301587301,0.634920634920635,-0.09523809523809512
batch_009,0.6825396825396824,0.666666666666667,-0.015873015873015484
batch_010,0.6666666666666666,0.73015873015873,0.06349206349206338
batch_011,0.746031746031746,0.666666666666667,-0.07936507936507908
batch_012,0.5555555555555555,0.682539682539683,0.12698412698412753
batch_013,0.6666666666666666,0.619047619047619,-0.04761904761904767
batch_014,0.6349206349206349,0.761904761904762,0.1269841269841271
batch_015,0.6825396825396824,0.619047619047619,-0.06349206349206349
batch_016,0.6984126984126983,0.73015873015873,0.031746031746031744
batch_017,0.6507936507936508,0.73015873015873,0.0793650793650792
batch_018,0.7301587301587302,0.619047619047619,-0.11111111111111127
batch_019,0.5396825396825397,0.698412698412698,0.1587301587301584
batch_020,0.6507936507936508,0.746031746031746,0.09523809523809523
