"component_1","component_2","subject_id"
0.0571999966189071,-0.061417885073849,"E002338"
0.0495182862095073,-0.0747071346010016,"E002473"
0.0659237730513207,0.0611858916662177,"E002681"
0.060242647589443,0.105265573030584,"E003393"
0.0449129033747917,-0.100026625591163,"E004071"
0.0297547487496465,-0.0268649441620961,"E004080"
0.0627529805053816,0.0325627103867644,"E004781"
0.041800947699484,-0.0206305178492728,"E004934"
0.0647914562684166,0.0834747406178627,"E005804"
0.0694507629172934,0.0621595925806281,"E006871"
0.0711503668578503,0.0569345794546889,"E007303"
0.0551528930069145,0.0278264748646722,"E007743"
0.0744100183375738,0.0515165965082838,"E007980"
0.0572468881145658,0.00319072955307556,"E008241"
0.0354904288338592,0.128593934802061,"E008357"
0.0759480654367607,0.115849622787206,"E008437"
0.0606777200984923,-0.0403800685229996,"E008643"
0.0234645167107909,0.00621761253056673,"E009020"
0.0483896670420075,-0.022192596498429,"E009667"
0.0427098473283802,0.0365841388462135,"E009676"
0.0646609928621462,0.0241052281735792,"E011183"
0.0373607939279211,0.126804376095306,"E011459"
0.0700212410675871,0.121401925871736,"E012115"
0.0562879991293073,-0.0200628804391692,"E012124"
0.0188758300505209,-0.0566024138698327,"E012393"
0.0713772590617334,0.0227379492669548,"E012678"
0.0563846777993878,0.117770960926703,"E012971"
0.0417537262588492,0.0920557028444479,"E013394"
0.0781105304391182,-0.0851523151247516,"E014953"
0.0735245328211372,0.0953847323587436,"E015208"
0.0526468278196921,-0.0665871924799153,"E015378"
0.0604216320228915,0.0897189923996715,"E015991"
0.0603803428827796,-0.0207219271709143,"E016148"
0.0921369536343391,-0.0553443289430225,"E016444"
0.116074882346171,0.0882918547469843,"E016681"
0.0710053559016011,0.0345129844739195,"E016870"
0.0376662035047468,-0.0530916733898509,"E017049"
0.0362703041931219,0.0643690292366756,"E017715"
0.0856463672794773,0.0534100313581687,"E018421"
0.0759456860874032,0.127026441426259,"E018574"
0.109420464892849,0.0282828198695187,"E019160"
0.033130640601403,-0.0507253572461025,"E019187"
0.0791343937479106,-0.00206002225515735,"E019349"
-0.000145827221998608,-0.0370055069589829,"E019793"
0.0300116726421469,0.0872392081753993,"E020682"
0.0768912788738919,0.0238126724606396,"E020781"
0.034197103991493,0.00728477977677256,"E020808"
0.0388612850020594,0.0334348541721815,"E022083"
0.0558141976385534,0.0770682572669695,"E022960"
0.0706190952003906,0.0998660968044583,"E023535"
0.0523617748099716,0.0110015738280563,"E023681"
0.0508790910486545,-0.0776774713504621,"E023705"
0.0415771551818503,0.0506553495366368,"E023839"
0.037363653295374,0.116241952147144,"E024240"
0.0562736107711756,0.0345625460081063,"E024646"
0.063314929964261,0.0248954111498151,"E025671"
0.0496364945645406,0.100272178746554,"E025912"
0.047819870034916,0.076295619975454,"E025921"
0.114336670062805,0.0421122808987263,"E026343"
0.0509668358267085,0.134371475963909,"E029310"
0.0688939392978612,0.0548457499472121,"E029796"
0.0383449599033258,0.110636130880572,"E030828"
0.0556507765879404,0.0408821767371908,"E030933"
0.0490892731135721,-0.0786523393612074,"E031941"
0.0438710281277329,0.0700878007695972,"E032745"
0.0568568282223092,0.0977410763701159,"E033036"
0.0712454101053379,0.0272308588621548,"E033156"
0.0453613624300979,-0.0240739875764621,"E034324"
0.0707873252322379,0.0163653035640322,"E034885"
0.0496503574465035,0.00173502156623377,"P000648"
0.0837306595197059,-0.114518326383806,"P000675"
0.0999104315337272,-0.052295812246115,"P000756"
0.06765783121019,-0.00759709349820783,"P001307"
0.0642597547955768,-0.133890598925403,"P001363"
0.109777110958917,-0.0216812992260422,"P003173"
0.112578233703863,-0.0747317010993587,"P003191"
0.0126584828774566,-0.0953119665986219,"P003435"
0.133329488057901,-0.0986944806224335,"P003558"
0.0617883690408612,-0.0775119728288499,"P004113"
0.0319201013476235,-0.0439413874153152,"P004230"
0.128743746901839,-0.0855592768388971,"P004847"
0.00408344263815514,-0.0758623510268346,"P004946"
0.0414185383591585,-0.0565809306398881,"P005135"
0.0657103736146568,-0.00587258229912519,"P005279"
0.0775632804197142,-0.0781816889164367,"P005342"
0.0398806120199943,-0.0359446656040106,"P005558"
0.0799274280596386,0.0253615362520334,"P006035"
0.0498561846231935,-0.131569291957056,"P006862"
0.0264407875188132,-0.0985666445533983,"P007550"
0.0763912608022173,-0.0245248737312643,"P007649"
0.0168859846081248,-0.0356479003892826,"P007857"
-0.0145941087255661,-0.150746440635961,"P008119"
0.0240320391706105,-0.0387122514622888,"P008543"
0.0847804916837958,-0.043297090592163,"P008579"
0.0869471253424624,-0.12683859474057,"P008633"
0.107462204497016,0.025639553603085,"P008723"
-0.0356220297858939,-0.0684861492626218,"P008939"
0.105390654616023,-0.100382215610627,"P009219"
0.0754094870025467,-0.0904383568265606,"P009291"
0.0753169170994227,-0.0816081970214514,"P009746"
0.0823205756071318,-0.059731099964886,"P009880"
0.0605908811464667,-0.0397173423271746,"P010096"
0.0725885133256198,0.00794334475428234,"P010313"
-0.0393022402342945,-0.00112866391571719,"P010322"
0.0750976321982779,-0.0938436229056102,"P010936"
0.10074717362945,-0.126087828328769,"P011108"
0.108214223051262,-0.0683736659827049,"P011207"
0.077832311640796,-0.128419535230248,"P013454"
0.0658855496856309,-0.0533704045202347,"P013701"
0.0724882138200401,-0.0166410686065364,"P013823"
0.0616856666625493,-0.0647552981622372,"P013960"
0.0216409814778204,-0.0644446638878786,"P014605"
0.0971204849256487,-0.0387710907134886,"P014713"
0.0627425326994068,-0.0225511966679934,"P014839"
0.0563041501970558,-0.115903197450346,"P015091"
0.0943488091510538,-0.0428776294182464,"P015163"
0.0474778213970541,0.0102375974329166,"P016497"
0.0641281571739721,-0.116942760921242,"P016574"
0.0633760434796936,0.00820723779492357,"P016803"
0.0466320964944169,-0.0123921356072934,"P017255"
0.0544721698580448,-0.0108733597167614,"P017671"
0.0600846874444835,-0.0863765471015359,"P017743"
0.0585775918622341,0.0204006906356668,"P018832"
0.0837758920656948,0.00748606899294525,"P019222"
0.0703605242673276,-0.130434947029391,"P019475"
0.0385938408844473,-0.100983877030463,"P019854"
0.0383566179253094,0.0209825503154112,"P019980"
0.0759502870726536,-0.0501670471631168,"P020604"
0.0769136279977236,-0.00357326577968907,"P020631"
0.216966770005233,-0.0442104452266565,"P020799"
0.131058145097385,-0.0275391719522585,"P020861"
0.073430561364196,0.00146940192867536,"P021343"
0.0670428854412494,-0.0137082470846606,"P021772"
0.0907589001313423,-0.0858652932762718,"P022130"
0.0551151959821505,-0.0883663505110868,"P022222"
0.0647063900393168,-0.115919024459135,"P022384"
-0.0760813609485095,-0.0480712601099432,"P023918"
0.0912174455810416,0.0105206225636835,"P026562"
0.0337182342888074,-0.0614827476754275,"T000094"
0.0619602898889211,0.0351304881833398,"T000272"
0.0365992878940107,0.0882174931634793,"T000461"
0.0549196424918727,0.0610272945992613,"T002534"
0.0515722632745033,0.131664786024747,"T003353"
0.0524492778385386,-0.0120965747359171,"T003355"
0.0872318060986533,0.0819094343878415,"T003745"
0.0673532730850268,0.0208440110608574,"T003950"
0.0532019040959563,0.0363739018716698,"T004341"
0.0490452988288675,0.12056263423225,"T005507"
0.0837668538766216,0.0445088888436976,"T005643"
0.0383674393570878,-0.0703235582685474,"T005999"
0.0657513918702734,0.0521385792471725,"T006266"
0.0409902271127895,0.0900481347606839,"T006288"
0.0516191322639731,0.0226533749410903,"T007404"
0.0731443156471267,0.0177858956037259,"T007748"
0.0741730712102316,0.0839526211499833,"T007750"
0.0824158752678391,0.0559999714336905,"T008025"
0.0670752081202809,-0.0926731986102113,"T008246"
0.0435392600257724,0.0610770933920821,"T008247"
0.0821036451537057,0.0411308635187048,"T008631"
0.0514318153180781,0.0953534916712504,"T009275"
0.0678372519719356,0.0653051112664015,"T009280"
0.0612910665166066,-0.0243523953747922,"T009717"
0.0804171879756838,-0.00897663380025024,"T009909"
0.0697575815366942,0.117081456238837,"T010520"
0.0477811177130189,0.0746011613586078,"T010532"
0.10649669125245,-0.125696813895458,"T011454"
0.0211868026084075,-0.00181593866416993,"T011676"
0.0713046766408742,-0.0179793243346034,"T012121"
0.0781304889179104,0.0069472450749947,"T012138"
