batch,MEFISTO,TEMPTED,TEMPTED_minus_MEFISTO
batch_001,0.6507936507936508,0.634920634920635,-0.015873015873015817
batch_002,0.5396825396825397,0.587301587301587,0.04761904761904734
batch_003,0.7142857142857143,0.603174603174603,-0.11111111111111127
batch_004,0.5238095238095238,0.587301587301587,0.06349206349206316
batch_005,0.6507936507936508,0.666666666666667,0.01587301587301615
batch_006,0.7142857142857143,0.666666666666667,-0.04761904761904734
batch_007,0.6349206349206349,0.603174603174603,-0.031746031746031855
batch_008,0.6666666666666666,0.603174603174603,-0.0634920634920636
batch_009,0.5714285714285714,0.53968253968254,-0.03174603174603141
batch_010,0.7142857142857144,0.714285714285714,-4.440892098500626e-16
batch_011,0.6825396825396824,0.619047619047619,-0.06349206349206349
batch_012,0.5396825396825397,0.619047619047619,0.0793650793650793
batch_013,0.5873015873015873,0.603174603174603,0.015873015873015706
batch_014,0.5873015873015873,0.666666666666667,0.07936507936507964
batch_015,0.6349206349206349,0.571428571428571,-0.06349206349206393
batch_016,0.6507936507936508,0.587301587301587,-0.06349206349206382
batch_017,0.5873015873015873,0.650793650793651,0.06349206349206371
batch_018,0.6984126984126985,0.650793650793651,-0.04761904761904745
batch_019,0.5238095238095238,0.650793650793651,0.1269841269841272
batch_020,0.5555555555555555,0.714285714285714,0.1587301587301585
