method,truth,predicted,count
MEFISTO,EST,EST,225
MEFISTO,EST,FIN,130
MEFISTO,EST,RUS,65
MEFISTO,FIN,EST,184
MEFISTO,FIN,FIN,221
MEFISTO,FIN,RUS,15
MEFISTO,RUS,EST,66
MEFISTO,RUS,FIN,17
MEFISTO,RUS,RUS,337
TEMPTED,EST,EST,196
TEMPTED,EST,FIN,158
TEMPTED,EST,RUS,66
TEMPTED,FIN,EST,157
TEMPTED,FIN,FIN,243
TEMPTED,FIN,RUS,20
TEMPTED,RUS,EST,48
TEMPTED,RUS,FIN,21
TEMPTED,RUS,RUS,351
