subject_id,factor_1,factor_2
E002338,-0.17639789417737162,1.5897757973644215
E002473,-0.29197501963575667,1.6077949412300034
E002681,0.5458208609555827,1.7104292926776417
E003393,0.8353452673997563,1.7123479746968207
E004071,-0.2051883093847332,1.6390803323934158
E004080,-0.1550745053923183,1.8335449291850443
E004781,-0.11771774165031496,1.6351928953575452
E004934,-0.14865822623986893,1.6381082821073372
E005804,-0.39417237747059863,1.609837159187331
E006871,-0.1707398432377983,1.592925181457979
E007303,-0.8248389497922699,1.602884249693925
E007743,-1.0960598519843545,1.5617895974605762
E007980,-0.27518597697140806,1.5971137748558928
E008241,0.09262278714135934,1.7085919513031513
E008357,-0.4184331633585606,1.6910459042070385
E008437,-0.45333042103371435,1.63443371450167
E008643,0.04019389926379292,1.5902380715948
E009020,0.22260267647173784,1.7819248252456015
E009667,-0.1724570761500489,1.6665525102422107
E009676,-0.17770140483423427,1.614298497232245
E011183,-0.15001715322177325,1.6899648772062061
E011459,-0.9493616538765685,1.5324259618936646
E012115,0.1868196982454879,1.7113568924236646
E012124,-0.521742468351703,1.6112916584617951
E012393,-0.21984910675866845,1.5981990035429237
E012678,-0.12427983251948634,1.6742384271661703
E012971,-1.2053517560978455,1.5597222900802676
E013394,-0.10929720701619892,1.6480121123736697
E014953,-1.5524583952828042,1.596560114584749
E015208,-0.9878303216551226,1.576979837072157
E015378,-0.5605212066478958,1.581418866394678
E015991,-0.7418637732078527,1.5611712362315748
E016148,-0.31538607983290634,1.6383855411144328
E016444,-1.076411985206103,1.6092269986192773
E016681,-1.109692956498324,1.5273172823260674
E016870,-0.6948086880546968,1.6436595461553296
E017049,-0.49205133525837536,1.6212254996739524
E017715,-0.9611570155893846,1.6157954545608177
E018421,-1.1453301834480818,1.6094649562098569
E018574,-0.9426485839424021,1.617195201251318
E019160,-1.654334796305296,1.6856203147392421
E019187,-0.4126250052822056,1.5950244307539738
E019349,-0.3372079692074076,1.6190096367339437
E019793,0.27433188015941357,1.5495684801521872
E020682,0.24454286237925882,1.6672689648765817
E020781,-0.4323814296110942,1.5893924833329331
E020808,-0.5758469713101092,1.5779666778134072
E022083,-0.21502172431999664,1.6095704598939948
E022960,-0.8126463760164231,1.6038583147604486
E023535,-0.5421451487931427,1.6203353201594768
E023681,-0.9591748830639305,1.5897061564542636
E023705,0.38197611395035264,1.6735005515730472
E023839,0.05926065341125727,1.6620019451968602
E024240,-1.054716774274278,1.5956014446904687
E024646,-0.05939109956501971,1.653075847092511
E025671,-0.5676325071192446,1.6401501681682185
E025912,-0.9221541773821516,1.651767894426975
E025921,-0.5278907407920901,1.6413258121083047
E026343,-1.6108811531922258,1.6595585838381066
E029310,-0.751995058715427,1.605683093293248
E029796,-0.7372335465514304,1.5449126861930615
E030828,-0.811476389775563,1.6432223785355995
E030933,0.2234472348993218,1.6308241212107408
E031941,-0.31187324865920407,1.6347939403685994
E032745,-0.9273657627212053,1.6222259631448133
E033036,-0.43751474868117596,1.686248077935668
E033156,-0.43504491596648703,1.5824040901478564
E034324,0.6598728315952591,1.6569074753388477
E034885,-0.8842316391786323,1.6392046006482088
P000648,-0.09419350621821501,1.6691350489869816
P000675,-0.1066989482963829,1.7108895251903853
P000756,0.6073855960120952,1.7347182387418858
P001307,-1.1070785149471287,1.6066113079760527
P001363,0.16135623413244232,1.7037157149685236
P003173,-1.4803776385636822,1.5257468254960662
P003191,0.4826263412386928,1.7071629799021772
P003435,-0.17199086825416632,1.7227776701258364
P003558,0.6638089693788503,1.6846454068442995
P004113,0.030881090666677852,1.6547770725660411
P004230,-0.3244529134364377,1.6965550975926815
P004847,1.4256873118248639,1.7040616005886602
P004946,-0.8823888523262337,1.7606715773798711
P005135,0.06669804549256389,1.7011446376753763
P005279,-1.0450599262185265,1.534269338225831
P005342,0.09710847353831037,1.7091913023978151
P005558,-0.03902782383251475,1.576101774692296
P006035,-0.7290676473209078,1.7214349838325989
P006862,-1.0937013824729902,1.6129769155702876
P007550,-0.16437205535638544,1.769409349835618
P007649,-0.8070410385432254,1.5858102674317371
